,Ox_Chamber,type,Temp_OXid,Vapor,ppm,Pressure,Oxid_time,thickness,Lot_Num,Wafer_Num,photo_soft_Chamber,resist_target,N2_HMDS,pressure_HMDS,temp_HMDS,temp_HMDS_bake,time_HMDS_bake,temp_softbake,pr_thickness,lithography_Chamber,Line_CD,Wavelength,exp_time,lense,Etching_Chamber,Thin F4,Temp_Etching,Source_Power,etching_rate1,etching_rate2,etching_rate3,etching_rate4,etching_uni,Chamber_Num,input_Energy,Temp_implantation,Furance_Temp,RTA_Temp,flux_rate1,flux_rate2,flux_rate3,flux_rate4,Error_message,target_rate,Target
0,1,dry,1138.9791588,H2O,32.8,0.2,62,6994.43,1,1,1,1.72027,13.891,15.025,20,198.792,90.001,90.894,1.93560819492348,1,30.959,365,40065.685,0.706464830632315,3,251,70.878,50.851,123.843,208,207,135.5,0.249597015168838,3,31574.41,102.847,885,154,4.15368423333333E+015,3031717142857143,-145527500000000,832615000000000,none,0.048,96
1,1,dry,1218.1845511,H2O,31.86,0.194,137,6967.92,1,2,1,0.96161,14.722,15.059,19.995,198.747,89.998,92.334,1.96878544979874,2,29.653,405,43376.31,0.806943298784205,2,317,69.561,52.283,128.792,202.3,208.3,125.7,0.248386689360269,2,31580.213,104.323,919,154,4.30755573333333E+015,3498117142857143,-256282812500000,828363611111111,none,0.051,102
2,1,dry,1062.467808,O2,39.51,0.217,128,7054.71,1,3,1,1.48912,19.205,14.964,19.997,202.139,90,91.868,2.08191564285697,3,28.063,436,48165.356,0.860384805130735,1,411,70.968,51.61,133.971,207.1,232.3,91,0.425364743494222,1,32162.414,100.605,916,155,2.34029666666667E+015,7337531714285714,-943833125000000,834936388888889,none,0.0475,95
3,1,dry,1114.7047728,O2,32.88,0.201,90,7107.72,1,4,2,0.94868,16.368,14.944,19.998,199.649,90.001,91.881,1.96445169828491,1,31.556,436,46683.392,0.811007379051084,1,256,70.146,51.286,137.072,210.9,200,137.2,0.215502092905139,1,32874.925,101.739,911,156,2.87608766666667E+015,-447097428571429,727083000000000,835735833333333,none,0.0585,117
4,1,dry,989.41194619,H2O,38.11,0.204,98,7169.75,1,5,2,0.83591,13.926,14.933,20.002,204.544,90.001,91.212,1.95825683061937,2,31.969,436,47119.828,0.777774210006172,2,419,71.174,51.996,144.975,205.3,206.9,117.9,0.263674406547421,2,30985.928,106.422,872,155,3748423200000000,1.81981571428571E+015,159214375000000,831788055555555,none,0.0715,143
5,1,wet,979.10970259,H2O,39.93,0.204,132,6987.25,1,6,2,1.36943,11.919,15.132,20.007,201.962,90,91.85,1.93668357363427,3,51.096,405,43315.155,0.808557533360485,3,359,71.709,51.931,128.025,206.3,232.1,96.4,0.409459510428846,3,31997.243,103.466,924,149,2.72263833333333E+015,5038298714285714,-455530000000000,832374166666667,none,0.0245,49
6,1,wet,1136.1149536,O2,35.63,0.2,74,7097.03,1,7,3,1.92633,16.358,15.083,19.997,205.548,90.001,92.193,2.09548079595916,2,24.552,436,47308.18,0.843413347983449,2,151,71.354,51.446,139.703,202.1,229,123.8,0.30290684031022,2,31464.087,100.054,882,154,2.19624533333333E+015,3.48472942857143E+015,-76036875000000,833468055555556,none,0.0485,97
7,1,dry,1096.2418486,H2O,28.6,0.199,291,6964.38,1,8,3,1.41846,12.465,14.91,19.998,202.558,89.999,92.359,1.89558010381357,3,33.839,436,46295.788,0.886007783050021,1,316,70.761,51.053,122.738,208.4,213.2,120.5,0.278864926493371,1,31776.157,104.328,885,153,2.86388533333333E+015,1.86146157142857E+015,226186562500000,829108055555555,none,0.046,92
8,2,dry,1042.2439924,O2,34.58,0.203,61,7129.77,1,9,1,0.67979,13.463,15.016,19.998,202.294,90,92.549,1.98463838255747,1,61.905,405,44128.8,0.800107471225764,1,294,71.716,51.209,141.277,206.3,222.9,113.1,0.321251300146143,1,31692.407,104.575,906,156,3.99344166666667E+015,1.62E+16,-3036022500000000,834407777777778,none,0.043,86
9,2,dry,1104.8362847,H2O,34.95,0.204,117,7258.73,1,10,1,0.73422,11.535,15.198,20.002,200.821,90.002,91.49,1.86798429023323,2,41.35,405,44390.025,0.810724787960437,2,466,69.948,50.944,155.573,206,204,113.7,0.271761132858217,2,32927.629,106.633,898,158,604881633333333,6292112428571429,-518404375000000,830386944444444,none,0.051,102
10,2,dry,1077.751749,O2,32.59,0.189,87,6890.49,1,11,1,1.09607,18.638,15.012,20.001,201.924,90.002,92.318,1.90027446336042,3,54.613,405,43554.915,0.771105441529264,3,223,70.61,51.473,120.249,202.1,227.4,117,0.331159101850921,3,31691.366,105.291,891,156,218879000000000,1.34E+16,-2065822187500000,836260833333333,none,0.036,72
11,2,dry,1113.7120291,H2O,38.02,0.218,80,7087.38,1,12,2,2.19916,12.013,14.981,20.001,200.521,90.001,93.669,1.96551784254821,1,31.272,436,48440.036,0.892279733789569,3,562,71.067,51.129,135.738,206.6,228.7,81.5,0.45116146492618,3,31201.151,105.485,906,153,2512306000000000,9.35083614285714E+015,-1385339687500000,832407777777778,[['Loc']],0.1075,215
